City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Itapetinga,BR,88.0,broken clouds,-15.25,-40.25,Hotel Del Rey
336,Kalianget,ID,82.22,overcast clouds,-7.05,113.93,Pesanggrahan Garam
339,Puerto Del Rosario,ES,73.4,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
342,Acarau,BR,86.77,scattered clouds,-2.89,-40.12,castelo pizzaria
352,Amboasary,MG,75.2,few clouds,-25.03,46.38,DISCOVERY AMBOASARY
354,Balibago,PH,75.2,overcast clouds,15.16,120.6,Lewis Grand Hotel
355,Kavaratti,IN,81.05,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
357,Quatre Cocos,MU,75.99,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
358,Uchiza,PE,79.65,light rain,-8.46,-76.46,Hotel El Rancho
363,Acari,PE,77.27,clear sky,-15.43,-74.62,Hospedaje Ximens
369,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
371,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
373,Salta,AR,77.0,light rain,-24.79,-65.41,Hotel Alejandro I
375,San Patricio,US,88.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
380,Kota,IN,80.44,scattered clouds,25.18,75.83,Hotel Surya Royal
382,Farmington,US,71.01,clear sky,36.73,-108.22,Courtyard by Marriott Farmington
384,Sagar,IN,71.91,scattered clouds,23.83,78.72,Hotel Devyog
385,Andrelandia,BR,72.45,moderate rain,-21.74,-44.31,Mônica Hotel
386,Huarmey,PE,70.66,clear sky,-10.07,-78.15,Hotel Miramar
388,Sur,OM,74.88,overcast clouds,22.57,59.53,Sur Plaza Hotel
389,Sabya,SA,87.8,clear sky,17.15,42.63,Aseel Hotel Apartment
393,Gamba,GA,77.05,light rain,-2.65,10.0,
395,Nautla,MX,83.77,scattered clouds,20.22,-96.78,Casa Blanca
397,Pali,IN,82.69,clear sky,25.77,73.33,Seervi Hostel
398,Pangai,TO,75.2,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
400,Tautira,PF,82.4,broken clouds,-17.73,-149.15,Pension Oaoa
402,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
404,Hambantota,LK,79.92,clear sky,6.12,81.12,Bungalow 63
406,Makakilo City,US,78.8,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
407,Itarema,BR,86.2,scattered clouds,-2.92,-39.92,Windvillage
409,Tsabong,BW,86.23,clear sky,-26.02,22.4,Springbok Motel
411,Alice Springs,AU,80.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
413,Dhidhdhoo,MV,81.84,scattered clouds,6.88,73.1,Dhidhoo beach
420,Sabang,ID,82.6,overcast clouds,5.89,95.32,Hotel Citra
422,Agadez,NE,84.52,clear sky,19.75,10.25,
426,Esmeraldas,BR,73.4,broken clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
428,Wasco,US,80.01,clear sky,35.59,-119.34,Best Western Plus Wasco Inn & Suites
432,San Quintin,MX,71.38,clear sky,30.48,-115.95,Old Mill Hotel
434,Mwanza,TZ,71.6,scattered clouds,-2.52,32.9,Gold Crest Hotel
437,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
438,Xuddur,SO,80.2,scattered clouds,4.12,43.89,Banjanay Hotel
439,Fomboni,KM,80.2,clear sky,-12.28,43.74,Auberge les abou
441,Katherine,AU,78.8,overcast clouds,-14.47,132.27,Pine Tree Motel
445,Sabha,LY,77.83,overcast clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
453,Havelock,US,82.4,broken clouds,34.88,-76.9,Sherwood Motel
455,Puerto Ayacucho,VE,87.94,light rain,5.66,-67.62,Posada Turistica Manapiare
456,Sabak,MY,80.6,light rain,3.77,100.99,Homestay Nur Kasih Inap Desa
457,Belmonte,BR,82.4,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
461,Monrovia,LR,84.2,thunderstorm,6.3,-10.8,Eco-Hotel Hall & Restaurant
465,Taoudenni,ML,86.52,broken clouds,22.68,-3.98,
468,Talara,PE,78.8,few clouds,-4.58,-81.27,Hostal Oro Negro
470,Jalna,IN,75.33,scattered clouds,19.83,75.88,Hotel Shivneri Palace
473,Kakamega,KE,71.6,broken clouds,0.28,34.75,Amazon Bed & Breakfast
474,Tarnos,FR,71.01,overcast clouds,43.54,-1.46,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
475,Haapiti,PF,82.4,broken clouds,-17.57,-149.87,Linareva Moorea Beach Resort
476,Tahta,EG,89.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
478,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
480,Hobyo,SO,80.04,clear sky,5.35,48.53,Osmani Hotel
483,Meulaboh,ID,77.7,overcast clouds,4.14,96.13,Kost Pria
484,Saint-Pierre,RE,75.2,few clouds,-21.34,55.48,Lindsey Hôtel
486,Aquiraz,BR,86.0,few clouds,-3.9,-38.39,Hotel Laguna Blu
491,Natal,BR,77.0,shower rain,-5.79,-35.21,Villa Park Hotel | Natal
492,Padang,ID,76.77,moderate rain,-0.95,100.35,Mercure Padang
493,Surt,LY,71.19,clear sky,31.21,16.59,City Hotel
499,Mitsamiouli,KM,80.46,clear sky,-11.38,43.28,Foyer ADM
503,Oranjestad,AW,89.6,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
506,Nha Trang,VN,82.4,broken clouds,12.25,109.18,Hanoi Golden Hotel
507,Buala,SB,80.71,light rain,-8.14,159.59,Maringe Lagoon Lodge
510,Uribia,CO,89.65,few clouds,11.71,-72.27,Hotel Uribia
512,Miraflores,MX,71.6,scattered clouds,19.22,-98.81,Hotel Mansión
513,Grand Gaube,MU,75.99,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
514,Sipe Sipe,BO,80.6,scattered clouds,-17.45,-66.38,Cabañas Oasis Marino
517,Yazman,PK,76.32,clear sky,29.12,71.74,Jamal sons showroom
519,Bahia Honda,CU,84.72,scattered clouds,22.9,-83.16,Casa Gualberto - Deysi
521,Isla Mujeres,MX,86.0,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
526,Abeche,TD,86.14,few clouds,13.83,20.83,Assaleh Hamdan Haroune
529,Vaitape,PF,79.25,light rain,-16.52,-151.75,Conrad Bora Bora Nui
531,Pundaguitan,PH,82.98,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
532,Salalah,OM,82.4,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
537,Hays,US,87.01,broken clouds,30.05,-98.03,Sinya on Lone Man Creek
538,Teshie,GH,80.6,few clouds,5.58,-0.11,ANAIVEH SERVICES
539,Coahuayana,MX,82.4,few clouds,18.73,-103.68,Hotel Los Arcos
541,Bertoua,CM,70.02,overcast clouds,4.58,13.68,PHENIX HOTEL
542,Yangambi,CD,72.63,overcast clouds,0.81,24.43,
544,Kanigoro,ID,74.71,light rain,-8.13,112.22,Musafer Villa ( Villa Erlin )
546,Tiarei,PF,82.4,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
547,Cedar City,US,73.4,clear sky,37.68,-113.06,Hampton Inn Cedar City
548,Muscat,OM,77.0,few clouds,23.61,58.59,Mutrah Hotel
549,Sao Joao Da Barra,BR,82.4,few clouds,-21.64,-41.05,Pousada Porto De Canoas
554,Bubaque,GW,82.4,overcast clouds,11.28,-15.83,Casa Dora - Mango Lodge
556,Niteroi,BR,84.2,scattered clouds,-22.88,-43.1,OYO Viareggio Hotel - Niterói
559,Mbour,SN,87.8,broken clouds,14.42,-16.96,Tama Lodge
560,Mahajanga,MG,82.4,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
561,Nicoya,CR,86.0,scattered clouds,10.15,-85.45,Guayacan Real
563,Honiara,SB,73.4,few clouds,-9.43,159.95,Heritage Park Hotel
564,Minador Do Negrao,BR,86.02,scattered clouds,-9.31,-36.86,
565,Vila Velha,BR,80.01,shower rain,-20.33,-40.29,Hotel Vitória Palace
566,Kingston,JM,84.2,few clouds,18.0,-76.79,The Jamaica Pegasus Hotel
572,Bulungu,CD,71.19,light rain,-4.55,18.6,
573,Saint-Joseph,RE,75.2,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
574,Samarai,PG,78.84,light rain,-10.62,150.67,Nuli Sapi
576,Bonthe,SL,78.51,moderate rain,7.53,-12.51,Bonthe Holiday Village
581,La Jagua Del Pilar,CO,87.22,light rain,10.51,-73.07,JUPITER
582,Cap Malheureux,MU,75.99,light rain,-19.98,57.61,Pereybere Hotel & Spa
584,Turayf,SA,71.6,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
585,Tamandare,BR,80.65,clear sky,-8.76,-35.1,Pousada 100 Passos
589,Cockburn Town,TC,78.8,broken clouds,21.46,-71.14,Osprey Beach Hotel
590,Liku,ID,75.76,scattered clouds,-0.73,119.89,Agoes Liverpool
597,Sume,BR,88.07,scattered clouds,-7.67,-36.88,pousada sumé II
598,Bilma,NE,83.71,clear sky,18.69,12.92,Expeditions Ténére voyages
603,Dondo,MZ,77.0,clear sky,-19.61,34.74,Arco Iris
607,Puerto Lempira,HN,85.23,overcast clouds,15.27,-83.77,Hotel Yu baiwan
609,Vila Do Maio,CV,81.99,clear sky,15.13,-23.22,Residence 'I Delfini'
610,Kualakapuas,ID,75.2,mist,-3.01,114.39,Guest House Izonk
613,Elizabethton,US,78.8,clear sky,36.35,-82.21,East Tennessee Sport Complex & RV Park
615,Sola,VU,77.0,broken clouds,-13.88,167.55,Leumerus Bungalows
616,San Ramon,US,82.0,clear sky,37.78,-121.98,San Ramon Marriott
618,Pedro Juan Caballero,PY,82.4,scattered clouds,-22.55,-55.73,Hotel Pousada do Bosque
619,Mananjary,MG,70.36,broken clouds,-21.22,48.33,Vahiny Lodge
621,Merauke,ID,76.82,broken clouds,-8.47,140.33,
623,Callaway,US,88.0,few clouds,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
624,Myitkyina,MM,71.37,overcast clouds,25.38,97.4,Shwe Phyu Hotel
626,Praia,CV,82.11,clear sky,14.92,-23.51,LT Aparthotel
628,Half Moon Bay,US,75.99,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
632,Kantang,TH,78.49,light rain,7.41,99.52,Reng Ta Chai Boutique HomeStay
634,Howard Springs,AU,80.6,few clouds,-12.5,131.05,buffalo beach hostel
635,Serabu,SL,75.69,light rain,7.8,-12.05,
636,Riyadh,SA,73.4,clear sky,24.69,46.72,InterContinental Riyadh
637,Paungde,MM,72.54,overcast clouds,18.48,95.5,Shwe Eain Matt highly cool guest house
639,Praya,CV,82.11,clear sky,14.92,-23.51,LT Aparthotel
641,Luis Correia,BR,84.47,scattered clouds,-2.88,-41.67,Hotel Amarração
646,Brawley,US,90.0,clear sky,32.98,-115.53,Brawley Inn Hotel & Conference Center
649,Gat,IL,77.0,clear sky,31.61,34.76,OlusHome
652,Mounana,GA,82.4,scattered clouds,-1.41,13.16,
655,Toamasina,MG,71.6,scattered clouds,-18.17,49.38,Hotel H1
659,Palmas Bellas,PA,86.0,few clouds,9.23,-80.09,Estación de Chagres
660,Labelle,US,82.4,few clouds,26.76,-81.44,La Belle Motel
661,Malasila,PH,77.0,overcast clouds,6.94,125.13,Le Reve Resort
662,Vredendal,ZA,70.9,clear sky,-31.67,18.5,Tharrakamma Guest House
663,Imbituba,BR,77.0,few clouds,-28.24,-48.67,Praia Hotel Imbituba
664,Chiplun,IN,75.36,clear sky,17.53,73.52,Hotel Reemz
666,Yenagoa,NG,77.74,clear sky,4.92,6.26,Amba Hotels Limited
669,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
671,Isangel,VU,71.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
673,Los Llanos De Aridane,ES,73.4,scattered clouds,28.66,-17.92,Valle Aridane
675,Ukiah,US,73.4,clear sky,39.15,-123.21,Hampton Inn Ukiah
676,Celestun,MX,82.72,light rain,20.87,-90.4,Posada Lilia
677,Kaohsiung,TW,78.8,broken clouds,22.62,120.31,Kindness Hotel
682,Itoman,JP,78.8,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
686,Teknaf,BD,76.57,heavy intensity rain,20.86,92.31,Magnum Engineering & Construction
687,Fukue,JP,70.99,light rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
688,Santa Cruz,BO,89.33,light rain,-17.8,-63.17,Hotel Cortez
690,Puerto Madero,MX,89.6,scattered clouds,14.72,-92.42,Hotel La Central
