City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Phalodi,IN,2020-10-13 18:23:13,27.13,72.37,86.79,13,6,7.4
115,Rio Gallegos,AR,2020-10-13 18:23:13,-51.62,-69.22,55.4,26,20,44.96
116,Guanica,PR,2020-10-13 18:23:13,17.97,-66.91,89.01,60,7,5.01
117,Arlit,NE,2020-10-13 18:23:14,18.74,7.39,96.67,9,26,7.65
118,Pascagoula,US,2020-10-13 18:23:14,30.37,-88.56,87.8,52,1,6.93
119,Parauna,BR,2020-10-13 18:23:14,-16.95,-50.45,95.85,24,23,2.57
120,Pachino,IT,2020-10-13 18:23:15,36.72,15.09,64.0,63,2,22.59
121,Provideniya,RU,2020-10-13 18:19:08,64.38,-173.3,28.63,91,0,3.22
122,Butaritari,KI,2020-10-13 18:19:10,3.07,172.79,81.39,74,24,18.88
123,Avarua,CK,2020-10-13 18:22:01,-21.21,-159.78,69.8,68,22,6.93
124,Darhan,MN,2020-10-13 18:23:16,49.49,105.92,28.81,83,67,2.51
125,Tuktoyaktuk,CA,2020-10-13 18:23:16,69.45,-133.04,24.8,73,75,13.87
126,Isangel,VU,2020-10-13 18:23:17,-19.55,169.27,75.2,94,75,5.82
127,Pastavy,BY,2020-10-13 18:23:17,55.12,26.83,47.84,91,100,13.38
128,Lapua,FI,2020-10-13 18:23:17,62.97,23.01,42.01,97,66,5.1
129,Waddan,LY,2020-10-13 18:23:18,29.16,16.14,73.02,53,0,9.71
130,Ahuimanu,US,2020-10-13 18:23:18,21.44,-157.84,80.6,74,90,14.99
131,Bethel,US,2020-10-13 18:23:19,41.37,-73.41,55.99,96,99,1.99
132,Kiunga,PG,2020-10-13 18:23:19,-6.12,141.29,74.05,98,100,1.63
133,Killybegs,IE,2020-10-13 18:23:19,54.63,-8.45,51.8,81,13,5.82
134,Coquimbo,CL,2020-10-13 18:23:19,-29.95,-71.34,57.2,76,90,9.17
135,Concepcion Del Uruguay,AR,2020-10-13 18:20:56,-32.48,-58.24,73.72,46,0,4.43
136,Yantzaza,EC,2020-10-13 18:23:20,-3.83,-78.76,86.0,30,40,18.34
137,Rocha,UY,2020-10-13 18:23:20,-34.48,-54.33,66.29,69,23,8.81
138,Hearst,CA,2020-10-13 18:23:21,49.68,-83.67,52.25,65,0,5.79
139,Vardo,NO,2020-10-13 18:23:21,70.37,31.11,35.6,79,40,11.41
140,Lebu,CL,2020-10-13 18:23:21,-37.62,-73.65,56.07,79,17,20.13
141,Kangalassy,RU,2020-10-13 18:23:21,62.35,129.96,19.4,92,75,4.47
142,Longyearbyen,SJ,2020-10-13 18:20:39,78.22,15.64,35.6,69,75,9.17
143,Mecca,SA,2020-10-13 18:23:22,21.43,39.83,79.3,45,0,2.86
144,Port Hedland,AU,2020-10-13 18:23:22,-20.32,118.57,73.4,78,6,6.93
145,Ancud,CL,2020-10-13 18:23:23,-41.87,-73.82,59.0,58,75,14.99
146,Benguela,AO,2020-10-13 18:23:23,-12.58,13.41,73.96,75,32,5.03
147,Eureka,US,2020-10-13 18:18:45,40.8,-124.16,66.99,82,1,4.7
148,Ahipara,NZ,2020-10-13 18:23:24,-35.17,173.17,52.7,88,100,7.11
149,Sanchor,IN,2020-10-13 18:23:24,24.76,71.77,86.22,21,0,2.44
150,Luwuk,ID,2020-10-13 18:23:24,-0.95,122.79,78.21,72,89,4.63
151,Klaksvik,FO,2020-10-13 18:23:25,62.23,-6.59,46.4,87,58,2.24
152,Tommot,RU,2020-10-13 18:23:25,58.96,126.29,22.33,94,100,10.47
153,Karaton,ID,2020-10-13 18:23:25,-6.34,106.1,82.0,78,40,2.24
154,Valdemarpils,LV,2020-10-13 18:23:25,57.37,22.59,48.2,81,90,2.24
155,Tuatapere,NZ,2020-10-13 18:23:26,-46.13,167.68,44.01,77,53,15.99
156,Kahului,US,2020-10-13 18:23:27,20.89,-156.47,80.6,61,20,5.82
157,Taonan,CN,2020-10-13 18:23:27,45.33,122.78,32.36,78,0,10.31
158,Kisesa,TZ,2020-10-13 18:23:27,-3.08,34.15,76.59,54,78,11.61
159,Ingham,US,2020-10-13 18:23:27,42.6,-84.38,66.2,29,1,10.29
160,Ranapur,IN,2020-10-13 18:23:28,22.65,74.53,79.21,38,95,7.45
161,Conakry,GN,2020-10-13 18:23:28,9.54,-13.68,82.4,83,75,9.17
162,Yumen,CN,2020-10-13 18:23:29,40.28,97.2,38.21,63,33,10.02
163,Laguna,US,2020-10-13 18:20:57,38.42,-121.42,77.0,36,1,2.39
164,Port Macquarie,AU,2020-10-13 18:23:29,-31.43,152.92,52.0,100,0,5.14
165,Cayenne,GF,2020-10-13 18:23:29,4.93,-52.33,89.6,55,49,13.87
166,Pedernales,DO,2020-10-13 18:23:30,18.04,-71.74,89.6,62,20,16.11
167,Carnarvon,AU,2020-10-13 18:23:30,-24.87,113.63,68.0,94,75,16.11
168,Tianpeng,CN,2020-10-13 18:23:30,30.99,103.94,62.01,1,100,2.04
169,Teya,RU,2020-10-13 18:23:31,60.38,92.63,31.1,97,95,1.36
170,San Carlos Del Zulia,VE,2020-10-13 18:23:31,9.0,-71.91,93.51,50,61,4.32
171,Rawson,AR,2020-10-13 18:23:31,-43.3,-65.1,79.09,21,100,22.17
172,Caravelas,BR,2020-10-13 18:23:31,-17.71,-39.25,77.02,86,60,10.11
173,Dali,CN,2020-10-13 18:23:32,25.7,100.18,58.71,85,4,2.89
174,Ambon,ID,2020-10-13 18:19:08,-3.7,128.18,75.99,94,40,6.93
175,Saint-Ambroise,CA,2020-10-13 18:23:32,48.55,-71.33,55.4,32,90,13.87
