,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Nemuro,JP,43.32,145.57,55.54,74,100,22.12,light rain
124,Atuona,PF,-9.8,-139.03,77.38,70,55,16.82,broken clouds
125,Umm Lajj,SA,25.02,37.27,81.36,59,0,6.06,clear sky
126,Caravelas,BR,-17.71,-39.25,78.66,71,81,9.26,heavy intensity rain
127,Pozo Colorado,PY,-23.49,-58.8,95.2,36,34,7.23,scattered clouds
128,Lompoc,US,34.64,-120.46,60.8,93,90,3.36,overcast clouds
129,Waingapu,ID,-9.66,120.26,79.21,77,0,2.24,clear sky
130,Vilhena,BR,-12.74,-60.15,92.79,34,47,1.83,moderate rain
131,Kaeo,NZ,-35.1,173.78,51.01,95,97,4.79,overcast clouds
132,Moville,US,42.49,-96.07,45.0,70,1,8.05,clear sky
133,Capinzal,BR,-27.34,-51.61,90.46,27,14,5.37,few clouds
134,Coihaique,CL,-45.58,-72.07,62.6,41,0,9.17,clear sky
135,Arawa,PG,-6.21,155.54,76.71,82,60,2.17,broken clouds
136,Mount Gambier,AU,-37.83,140.77,42.8,93,56,5.82,broken clouds
137,Barrow,US,71.29,-156.79,35.6,99,90,16.11,mist
138,Flinders,AU,-34.58,150.86,61.0,87,97,4.56,overcast clouds
139,Noumea,NC,-22.28,166.46,68.0,88,75,4.9,broken clouds
140,Willmar,US,45.12,-95.04,33.8,69,1,6.82,clear sky
141,San Lazaro,BZ,18.04,-88.66,86.0,70,75,6.24,broken clouds
142,Fortuna,US,40.6,-124.16,57.99,93,90,10.29,overcast clouds
143,Bambous Virieux,MU,-20.34,57.76,75.99,78,40,13.87,scattered clouds
144,Sitka,US,57.05,-135.33,35.6,55,1,5.82,clear sky
145,Fairbanks,US,64.84,-147.72,23.0,92,90,1.12,overcast clouds
146,Krasnoarmeysk,RU,51.02,45.7,37.99,48,95,4.0,overcast clouds
147,Gaurnadi,BD,22.97,90.23,76.98,92,96,6.15,light rain
148,Santa Branca,BR,-23.4,-45.88,82.4,48,40,17.22,scattered clouds
149,Avarua,CK,-21.21,-159.78,75.2,83,89,4.7,overcast clouds
150,Nikolskoye,RU,59.7,30.79,37.4,86,90,8.95,overcast clouds
151,Kungurtug,RU,50.6,97.52,26.49,90,0,2.73,clear sky
152,Puerto Escondido,MX,15.85,-97.07,86.0,70,40,13.87,scattered clouds
153,Ambilobe,MG,-13.2,49.05,77.38,68,66,5.66,broken clouds
154,Freeport,US,40.66,-73.58,69.8,77,90,11.41,overcast clouds
155,Vostok,RU,46.49,135.88,41.88,95,100,6.06,moderate rain
156,Namibe,AO,-15.2,12.15,70.72,80,93,7.09,overcast clouds
157,Kaitangata,NZ,-46.28,169.85,43.3,84,97,4.97,overcast clouds
158,Port Moresby,PG,-9.44,147.18,74.55,90,24,4.36,few clouds
159,Pandan,PH,14.05,124.17,80.73,84,98,9.98,overcast clouds
160,Kavieng,PG,-2.57,150.8,81.1,77,100,8.12,light rain
161,Turtas,RU,58.94,69.13,30.47,99,100,3.85,overcast clouds
162,Conde,BR,-7.26,-34.91,77.0,94,75,11.41,broken clouds
163,Najran,SA,17.49,44.13,75.2,27,0,4.7,clear sky
164,Broome,US,42.25,-75.83,73.99,64,20,11.41,few clouds
165,Mogadishu,SO,2.04,45.34,80.13,83,16,16.6,few clouds
166,Saryg-Sep,RU,51.5,95.6,28.42,94,1,3.33,clear sky
167,Kunashak,RU,55.7,61.55,33.8,86,40,4.47,scattered clouds
168,Saldanha,ZA,-33.01,17.94,62.6,63,0,12.75,clear sky
169,Huilong,CN,31.81,121.66,62.01,87,82,6.33,broken clouds
170,Port Blair,IN,11.67,92.75,81.12,83,54,11.3,light rain
171,Ribeira Grande,PT,38.52,-28.7,66.2,59,40,4.7,scattered clouds
172,Daud Khel,PK,32.88,71.57,72.12,21,0,1.88,clear sky
173,Punta Arenas,CL,-53.15,-70.92,48.2,45,90,13.87,overcast clouds
174,Calama,CL,-22.47,-68.93,77.0,9,1,20.8,clear sky
175,North Bend,US,43.41,-124.22,64.0,71,90,8.05,overcast clouds
176,Norman Wells,CA,65.28,-126.83,23.0,79,90,18.34,light snow
177,Kashi,CN,39.45,75.98,50.0,31,0,11.18,clear sky
178,Soavinandriana,MG,-19.17,46.73,67.14,61,33,6.62,scattered clouds
179,Tungor,RU,53.38,142.96,44.26,93,100,10.87,overcast clouds
180,Yinchuan,CN,38.47,106.27,48.52,40,0,11.39,clear sky
181,Hailar,CN,49.2,119.7,21.56,91,21,9.57,few clouds
182,Wiang Sa,TH,8.64,99.37,82.0,87,100,1.12,moderate rain
183,Biak,ID,-0.91,122.88,76.15,70,41,4.63,scattered clouds
184,Maceio,BR,-9.67,-35.74,84.2,62,40,8.05,scattered clouds
185,Tymovskoye,RU,50.85,142.66,44.04,90,100,7.85,overcast clouds
186,Santa Maria,BR,-29.68,-53.81,80.46,59,37,14.63,scattered clouds
187,Linxia,CN,35.6,103.21,44.67,54,0,2.21,clear sky
188,Aksarka,RU,66.56,67.8,19.6,97,97,11.68,overcast clouds
189,Sioux Lookout,CA,50.1,-91.92,32.0,84,90,2.24,overcast clouds
190,Myanaung,MM,18.28,95.32,73.04,94,99,4.7,overcast clouds
191,Jejuri,IN,18.28,74.17,74.61,81,15,5.35,light rain
192,Morondava,MG,-20.28,44.28,78.37,74,23,12.03,few clouds
193,Cayenne,GF,4.93,-52.33,87.8,66,20,11.41,few clouds
194,Tura,IN,25.52,90.22,71.65,90,6,2.59,clear sky
195,Kruisfontein,ZA,-34.0,24.73,62.01,66,0,3.0,clear sky
196,Talas,TR,38.69,35.55,55.4,71,2,2.24,clear sky
197,Kutum,SD,14.2,24.67,80.33,15,0,11.43,clear sky
198,Siilinjarvi,FI,63.08,27.67,33.8,96,90,12.75,light rain
199,Ramotswa,BW,-24.87,25.87,82.4,26,1,8.05,clear sky
200,Rassvet,RU,46.83,40.75,48.78,50,100,2.19,overcast clouds
201,Pampas,PE,-12.4,-74.9,59.0,56,82,9.22,light rain
202,Arieseni,RO,46.48,22.77,40.91,64,96,1.03,overcast clouds
203,Koupela,BF,12.18,-0.35,90.12,33,63,4.34,broken clouds
204,Bandarbeyla,SO,9.49,50.81,81.1,70,0,1.57,clear sky
205,Waipawa,NZ,-41.41,175.52,53.6,81,2,11.41,clear sky
206,Tiksi,RU,71.69,128.87,9.93,93,99,5.97,overcast clouds
207,Chokurdakh,RU,70.63,147.92,8.15,94,83,3.6,broken clouds
208,Tallahassee,US,30.44,-84.28,86.0,58,75,9.17,broken clouds
209,Nokaneng,BW,-19.67,22.27,82.42,13,0,7.2,clear sky
210,Ancud,CL,-41.87,-73.82,57.2,50,0,9.17,clear sky
211,Lebu,CL,-37.62,-73.65,53.29,66,0,17.02,clear sky
212,Hovd,MN,48.01,91.64,30.2,86,0,0.56,clear sky
213,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.4,78,75,10.29,broken clouds
214,Airai,TL,-8.93,125.41,59.54,91,32,0.92,scattered clouds
215,Lakselv,NO,70.05,24.97,24.8,92,40,11.41,scattered clouds
216,Kaka,TM,37.35,59.61,58.95,51,0,9.35,clear sky
217,Ati,TD,13.22,18.34,92.44,11,11,8.23,few clouds
218,Constitucion,CL,-35.33,-72.42,59.29,62,1,11.3,clear sky
219,Umm Kaddadah,SD,13.6,26.69,90.97,11,0,11.03,clear sky
220,Inhambane,MZ,-23.86,35.38,75.2,83,20,11.41,few clouds
221,Oriximina,BR,-1.77,-55.87,92.98,43,50,5.44,light rain
222,Mount Isa,AU,-20.73,139.5,75.2,44,62,5.82,broken clouds
223,Lorengau,PG,-2.02,147.27,81.28,76,72,5.32,broken clouds
224,Rafsanjan,IR,30.41,55.99,53.71,35,0,3.69,clear sky
225,Worthington,US,40.09,-83.02,66.99,93,90,6.93,mist
226,Qui Nhon,VN,13.77,109.23,73.62,84,100,15.43,overcast clouds
227,Mildura,AU,-34.2,142.15,55.4,76,19,4.7,few clouds
228,Reconquista,AR,-29.15,-59.65,84.52,54,26,10.69,scattered clouds
229,Kumla,SE,59.13,15.14,52.0,93,75,5.82,broken clouds
230,Pevek,RU,69.7,170.31,29.37,99,100,3.85,overcast clouds
231,Shu,KZ,43.6,73.76,55.56,34,0,5.44,clear sky
